# Distance    Theta1    Theta2    Theta3
5.000000000000000000e-01 1.549195902090019450e+00 4.234132629407255655e-01 8.639808798419643665e-01
5.423728813559322015e-01 1.439892522756029525e+00 1.876120472764200020e-01 1.866322120040902754e-01
5.847457627118644030e-01 1.477365163730255837e+00 1.493973804881513767e-01 9.229659856977862065e-01
6.271186440677966045e-01 1.487099947428040414e+00 8.166702341987852609e-01 1.102062051296067269e+00
6.694915254237288060e-01 1.371357069880988933e+00 2.407341317053044438e-01 1.098538947517160080e+00
7.118644067796610075e-01 1.437719324296394152e+00 6.317771591460041858e-01 9.389891015359211890e-01
7.542372881355932090e-01 1.433762914524376653e+00 6.011984131876205728e-01 1.263078732561920159e+00
7.966101694915254106e-01 1.369482624888792577e+00 1.916778639847801502e-01 1.345601774478361268e+00
8.389830508474576121e-01 1.391382346530269487e+00 4.529716672133952127e-01 1.733190902907308928e+00
8.813559322033898136e-01 1.388809104478370582e+00 6.019273800857151135e-01 1.041329980990319148e+00
9.237288135593220151e-01 1.304041415734338960e+00 2.543804473357257900e-01 1.853885353931804980e+00
9.661016949152542166e-01 1.297940273121100496e+00 1.416203311048134239e-01 2.078115220310282396e+00
1.008474576271186418e+00 1.343480582843900706e+00 7.119537834022705569e-01 1.875351589331121893e+00
1.050847457627118509e+00 1.270629342734853173e+00 3.874279831816437869e-01 2.236226638807728317e+00
1.093220338983050821e+00 1.268724172283299367e+00 3.375170560418705445e-01 1.314436490861481177e+00
1.135593220338983134e+00 1.276358729415034698e+00 6.380495846555592765e-01 2.951457927310924045e+00
1.177966101694915224e+00 1.224060807627620928e+00 2.393202421730957208e-01 2.651130994455859202e+00
1.220338983050847315e+00 1.238626092047890648e+00 4.011271461631532032e-01 2.753517987306583148e+00
1.262711864406779627e+00 1.197718354338830782e+00 1.229141503162970994e-01 2.677664954325019497e+00
1.305084745762711940e+00 1.193600204286816346e+00 2.650209744549425483e-01 2.459803044112692127e+00
1.347457627118644030e+00 1.194273318164077669e+00 4.645675362337101655e-01 3.065348596640451451e+00
1.389830508474576121e+00 1.176466672321054396e+00 2.305970352723936134e-01 3.085902049568118422e+00
1.432203389830508433e+00 1.167308978597063396e+00 2.576787991499102648e-01 2.895706806116278731e+00
1.474576271186440746e+00 1.152785117212433263e+00 4.194906844264976731e-01 2.761741846282333768e+00
1.516949152542372836e+00 1.131120201451555340e+00 2.582525188742813560e-01 3.111957695107669508e+00
1.559322033898304927e+00 1.139450263210994629e+00 2.770134250019924971e-01 2.963332230606723350e+00
1.601694915254237239e+00 1.130057875917701571e+00 5.468874193935553407e-01 3.070500682080152366e+00
1.644067796610169552e+00 1.110362468141112391e+00 4.706822759652295463e-01 3.011191771245127935e+00
1.686440677966101642e+00 1.074235070025181260e+00 9.999999999999999547e-08 2.740184308912056110e+00
1.728813559322033733e+00 1.104608249418026933e+00 3.647130292205211233e-01 3.232827468163070428e+00
1.771186440677966045e+00 1.098827847614500364e+00 2.230480539441555277e-01 2.810383995559185610e+00
1.813559322033898358e+00 1.094233315736898415e+00 4.430031482098200080e-01 3.132483911407522026e+00
1.855932203389830448e+00 1.083504306194028599e+00 3.115460069535177512e-01 3.262585852567081002e+00
1.898305084745762539e+00 1.084972868846326044e+00 1.735938434339816538e-01 2.986962506624262215e+00
1.940677966101694851e+00 1.051965782847133823e+00 9.999999999999999547e-08 2.712380778561585437e+00
1.983050847457627164e+00 1.060101294490955803e+00 1.562207591560161590e-01 2.849724232534599722e+00
2.025423728813559254e+00 1.060349394402010814e+00 1.796567693773187258e-01 4.373169899726869758e+00
2.067796610169491345e+00 1.051209452623894869e+00 2.620391192053184160e-01 3.045326460339286445e+00
2.110169491525423879e+00 1.055337511110898463e+00 6.427300213410758190e-01 3.016447694633029641e+00
2.152542372881355970e+00 1.042444629942282708e+00 9.999999999999999547e-08 2.731756631421807135e+00
2.194915254237288060e+00 1.036401771559845475e+00 4.873126844243284017e-01 2.890957572353304084e+00
2.237288135593220151e+00 1.033544172161874330e+00 3.119169455634994148e-01 2.714265894084197939e+00
2.279661016949152241e+00 1.029225779987454237e+00 2.152885029809912809e-01 2.381758092142277405e+00
2.322033898305084776e+00 1.027022861491936778e+00 2.179923923188679669e-01 2.606769669412420498e+00
2.364406779661016866e+00 1.022775422158026082e+00 9.999999999999999547e-08 3.090562916408359229e+00
2.406779661016948957e+00 1.020229056304452486e+00 5.652576542575429297e-01 2.808676462701305443e+00
2.449152542372881491e+00 1.023156936300684050e+00 3.668959314825360751e-01 2.656121030412102790e+00
2.491525423728813582e+00 1.010726757681035259e+00 2.254514720002504802e-01 2.727023782602479240e+00
2.533898305084745672e+00 1.017174123500427907e+00 3.830156807117210960e-01 2.784894706860454150e+00
2.576271186440677763e+00 1.011414979372785794e+00 4.203305218219869355e-01 2.678547757368983984e+00
2.618644067796609853e+00 1.008735343678903051e+00 3.546965959352727515e-01 2.480362050525803053e+00
2.661016949152542388e+00 1.006227606732477353e+00 3.295058758840543889e-01 2.648413668321749626e+00
2.703389830508474478e+00 1.005251448081706300e+00 2.938494394695164158e-01 2.211185879487078676e+00
2.745762711864406569e+00 1.000686223860611346e+00 1.427466688165640041e-01 2.109934443119383385e+00
2.788135593220339103e+00 1.001276719184533537e+00 4.138932074389182203e-01 2.476901291877730227e+00
2.830508474576271194e+00 9.979416423162168481e-01 1.406001291759766125e-01 2.604195684793465748e+00
2.872881355932203284e+00 1.001637465105350344e+00 3.330839986269937825e-01 2.291373844926980929e+00
2.915254237288135375e+00 9.916523155480022611e-01 1.677245553355653229e-01 2.334586003460560555e+00
2.957627118644067465e+00 9.981238154246322436e-01 3.766720435025348035e-01 2.417173579153872875e+00
3.000000000000000000e+00 9.931470199934199217e-01 1.777655796582794379e-01 2.511189302351012120e+00
